Zeit t / s;Spannung U_1 / V;Stromstärke I_1 / A;Phasenverschiebung &j_1 / °;Spannung U_A2 / V;Spannung U_B2 / V;Leistungsfaktor cos&j_2;Anzahl n_0;Frequenz f_0 / Hz;Frequenz f_1 / Hz;Frequenz f / Hz;Phasenverschiebung &j_2 / °;Leistung P / mW;Impedanz Z / k&W;Admittanz Y / 1/k&W
23,101;7,0792513728501;0,00158113883008419;-64,8331833184922;1,21202691801791;1,49122709538152;-0,440911804724585;50;36,49635036;2007,29927;844,618953660148;63,837927656445;0,079690725;8,12771523379426;0,123035806648601
25,2;7,06861018871461;0,000866025403784439;-43,2335072422267;1,13656555024336;1,52984631581084;-0,471047345787815;50;36,49635036;2007,29927;906,80382607954;61,8976964856406;0,0819043285351683;7,42927925829575;0,134602559041427
27,301;7,06911062298504;0,000866025403784439;-42,203169679753;1,072232484119;1,55562945459386;-0,511544258949338;50;36,49635036;2007,29927;966,189918202747;59,2332530955153;0,0853254;6,89259566892768;0,145083223800298
29,399;7,07227509363147;0,00193649167310371;-69,5947965818568;1,02749014593815;1,57505357051752;-0,537897186527681;50;36,49635036;2007,29927;1022,9031958932;57,4593943693146;0,0870507;6,523525073503;0,15329135532287
31,501;7,07580914100995;0,001;-52,4487421880923;0,974973461177277;1,59522584607948;-0,570953265927967;50;36,49635036;2007,29927;1077,06395561655;55,1832733306182;0,088800525;6,11182086582553;0,16361736084111
33,6;7,06882062298938;0,001;-51,0631026003521;0,932464476535165;1,60882604715364;-0,603723815019568;50;36,49635036;2007,29927;1128,78707960564;52,8629356130903;0,090569025;5,79593100313671;0,172534835121192
35,7;7,07912953688517;0,0014142135623731;-58,774411804057;0,891634874822648;1,62211944689656;-0,63273839114554;50;36,49635036;2007,29927;1178,18227954109;50,7475537222317;0,091515375;5,4967276086143;0,181926424448035
37,8;7,07541341548322;0,00122474487139159;-61,2352542636303;0,844980769011934;1,63878003404972;-0,66892095009765;50;36,49635036;2007,29927;1225,35432926449;48,0161622517437;0,092628;5,15615733323181;0,193942879429789
39,9;7,06873220598998;0,0016583123951777;-74,7540307440856;0,820808442939033;1,64230478291942;-0,698520722472245;50;36,49635036;2007,29927;1270,40328701777;45,6915584838061;0,094161825;4,99790569616399;0,200083807257012
41,999;7,07890528259843;0,00111803398874989;-59,4738697383743;0,785506047080479;1,65562495753114;-0,724378720214984;50;36,49635036;2007,29927;1313,42470768015;43,5828108086097;0,0942057;4,74446850723862;0,210771764734933
44,1;7,07578794198922;0,0013228756555323;-59,5763802354346;0,771131311775109;1,65788343981113;-0,745743367729115;50;36,49635036;2007,29927;1354,50984545283;41,7770116241045;0,09533925;4,65129992409452;0,214993661195622
46,201;7,07245714020241;0,00122474487139159;-59,6248598640046;0,746157657603271;1,66551816261487;-0,769333825754767;50;36,49635036;2007,29927;1393,74584742141;39,7058953779053;0,095608125;4,48003314735278;0,223212634172337
48,3;7,07237407098917;0,00122474487139159;-61,2594639935027;0,727787572029092;1,66872758411911;-0,794562807270406;50;36,49635036;2007,29927;1431,21593840652;37,3860188220256;0,096498;4,3613324245088;0,229287727388179
50,399;7,07955153946915;0,00122474487139159;-58,8511900774802;0,69873761169698;1,6764766625277;-0,827991229623298;50;36,49635036;2007,29927;1466,99959749486;34,1070617001187;0,096992325;4,16789345962898;0,239929357524657
52,401;7,06922025403085;0,00217944947177034;-67,0807662253458;0,692827900708394;1,67972743324624;-0,833921131525464;50;36,49635036;2007,29927;1501,17272662494;33,4963343990869;0,097048575;4,12464479055054;0,242445119708484
